iter	Passed	Remaining
0	47	47204
1	94	47274
2	146	48615
3	166	41420
4	226	44986
5	279	46290
6	332	47177
7	383	47566
8	422	46467
9	494	48982
10	558	50197
11	610	50266
12	665	50500
13	690	48649
14	759	49892
15	787	48441
16	843	48799
17	898	49023
18	957	49411
19	1009	49474
20	1049	48936
21	1135	50471
22	1163	49420
23	1217	49517
24	1271	49592
25	1289	48324
26	1344	48450
27	1397	48504
28	1450	48569
29	1478	47801
30	1529	47814
31	1542	46646
32	1561	45767
33	1695	48180
34	1754	48366
35	1763	47225
36	1832	47687
37	1895	47978
38	1928	47512
39	1996	47907
40	2084	48765
41	2095	47806
42	2120	47202
43	2174	47254
44	2195	46597
45	2258	46833
46	2305	46749
47	2336	46336
48	2437	47313
49	2489	47295
50	2555	47553
51	2670	48682
52	2697	48207
53	2752	48217
54	2772	47629
55	2827	47656
56	2889	47806
57	2984	48468
58	3037	48447
59	3089	48407
60	3220	49579
61	3281	49645
62	3334	49600
63	3353	49046
64	3458	49750
65	3525	49897
66	3579	49843
67	3636	49847
68	3739	50454
69	3792	50392
70	3848	50362
71	3906	50356
72	3956	50241
73	4015	50245
74	4077	50290
75	4145	50402
76	4200	50356
77	4261	50373
78	4322	50393
79	4411	50737
80	4432	50284
81	4501	50395
82	4562	50410
83	4628	50468
84	4684	50432
85	4747	50457
86	4789	50265
87	4847	50233
88	4877	49929
89	4934	49893
90	5006	50010
91	5071	50053
92	5127	50007
93	5184	49973
94	5254	50054
95	5343	50321
96	5374	50034
97	5432	50001
98	5491	49982
99	5524	49724
100	5545	49360
101	5603	49332
102	5670	49380
103	5716	49248
104	5769	49179
105	5832	49190
106	5903	49271
107	5957	49206
108	6016	49184
109	6085	49234
110	6141	49183
111	6176	48967
112	6225	48865
113	6289	48878
114	6319	48633
115	6386	48671
116	6407	48356
117	6468	48347
118	6478	47965
119	6532	47908
120	6586	47848
121	6605	47540
122	6693	47726
123	6712	47417
124	6746	47222
125	6785	47066
126	6804	46770
127	6857	46713
128	6911	46664
129	6972	46660
130	7047	46747
131	7109	46752
132	7177	46786
133	7234	46753
134	7304	46805
135	7318	46494
136	7389	46548
137	7463	46622
138	7595	47045
139	7689	47237
140	7761	47281
141	7822	47264
142	7894	47310
143	7951	47268
144	8016	47269
145	8086	47298
146	8109	47054
147	8167	47016
148	8230	47006
149	8277	46903
150	8328	46827
151	8339	46527
152	8397	46488
153	8438	46355
154	8499	46335
155	8512	46053
156	8580	46070
157	8633	46010
158	8743	46249
159	8795	46178
160	8848	46113
161	8917	46129
162	8982	46125
163	9038	46074
164	9089	45999
165	9142	45930
166	9162	45704
167	9208	45605
168	9227	45370
169	9293	45372
170	9349	45323
171	9424	45368
172	9478	45312
173	9532	45253
174	9592	45219
175	9643	45147
176	9653	44884
177	9738	44972
178	9798	44941
179	9851	44880
180	9906	44823
181	9917	44574
182	9972	44522
183	10026	44464
184	10078	44401
185	10133	44348
186	10143	44098
187	10222	44153
188	10277	44102
189	10338	44073
190	10390	44009
191	10471	44068
192	10523	44004
193	10574	43931
194	10643	43939
195	10710	43934
196	10764	43876
197	10823	43842
198	10877	43781
199	10930	43722
200	10997	43716
201	11009	43493
202	11069	43458
203	11170	43587
204	11287	43771
205	11354	43766
206	11417	43740
207	11483	43726
208	11566	43774
209	11618	43708
210	11671	43645
211	11760	43713
212	11821	43678
213	11886	43657
214	11945	43616
215	11999	43553
216	12052	43489
217	12106	43427
218	12159	43363
219	12215	43310
220	12279	43284
221	12349	43279
222	12431	43316
223	12507	43328
224	12606	43420
225	12673	43402
226	12727	43342
227	12781	43277
228	12835	43214
229	12885	43138
230	12939	43077
231	12990	43003
232	13044	42940
233	13098	42877
234	13150	42808
235	13233	42840
236	13298	42814
237	13354	42756
238	13405	42683
239	13458	42620
240	13523	42589
241	13576	42525
242	13629	42459
243	13727	42531
244	13781	42469
245	13837	42411
246	13891	42349
247	13945	42286
248	14006	42245
249	14060	42182
250	14115	42122
251	14179	42088
252	14235	42032
253	14319	42055
254	14377	42005
255	14432	41944
256	14484	41876
257	14540	41817
258	14598	41765
259	14656	41714
260	14736	41724
261	14795	41675
262	14853	41624
263	14923	41604
264	15010	41634
265	15067	41576
266	15124	41521
267	15185	41478
268	15241	41419
269	15310	41396
270	15389	41398
271	15444	41335
272	15499	41275
273	15554	41214
274	15622	41187
275	15678	41127
276	15732	41063
277	15786	40998
278	15840	40935
279	15901	40889
280	15964	40848
281	16020	40789
282	16085	40752
283	16150	40716
284	16211	40669
285	16266	40609
286	16325	40558
287	16380	40495
288	16433	40429
289	16485	40362
290	16555	40336
291	16607	40267
292	16658	40196
293	16712	40131
294	16765	40065
295	16836	40043
296	16889	39977
297	16941	39908
298	16999	39854
299	17052	39789
300	17104	39721
301	17156	39653
302	17208	39585
303	17265	39529
304	17323	39475
305	17380	39417
306	17431	39348
307	17541	39411
308	17633	39433
309	17683	39358
310	17737	39296
311	17786	39221
312	17837	39152
313	17888	39080
314	17949	39032
315	17999	38961
316	18051	38892
317	18101	38820
318	18153	38754
319	18206	38688
320	18257	38618
321	18312	38559
322	18367	38498
323	18447	38488
324	18500	38423
325	18556	38366
326	18608	38297
327	18705	38323
328	18756	38254
329	18807	38185
330	18857	38113
331	18908	38044
332	18957	37972
333	19009	37904
334	19059	37834
335	19115	37775
336	19164	37703
337	19219	37642
338	19268	37571
339	19344	37551
340	19400	37492
341	19449	37420
342	19520	37390
343	19569	37317
344	19624	37258
345	19673	37186
346	19727	37124
347	19829	37152
348	19878	37079
349	19931	37015
350	19979	36941
351	20034	36881
352	20082	36808
353	20135	36744
354	20188	36680
355	20243	36619
356	20294	36552
357	20355	36504
358	20419	36458
359	20468	36388
360	20521	36324
361	20569	36252
362	20621	36186
363	20670	36116
364	20721	36049
365	20769	35978
366	20822	35914
367	20872	35846
368	20926	35784
369	20975	35715
370	21027	35650
371	21086	35597
372	21153	35557
373	21216	35511
374	21280	35467
375	21335	35407
376	21393	35352
377	21444	35287
378	21527	35273
379	21576	35204
380	21631	35143
381	21683	35079
382	21738	35020
383	21793	34959
384	21841	34889
385	21894	34826
386	21942	34757
387	21995	34694
388	22047	34629
389	22121	34600
390	22179	34545
391	22246	34504
392	22311	34460
393	22361	34392
394	22423	34344
395	22496	34313
396	22603	34331
397	22662	34277
398	22714	34214
399	22763	34144
400	22830	34103
401	22879	34035
402	22931	33970
403	22983	33906
404	23033	33839
405	23082	33771
406	23137	33710
407	23204	33669
408	23255	33603
409	23340	33587
410	23401	33536
411	23452	33471
412	23507	33411
413	23567	33359
414	23646	33333
415	23754	33348
416	23808	33286
417	23861	33222
418	23912	33158
419	23964	33093
420	24019	33034
421	24070	32969
422	24121	32903
423	24174	32840
424	24223	32773
425	24276	32710
426	24327	32645
427	24406	32618
428	24459	32555
429	24512	32493
430	24564	32429
431	24617	32367
432	24669	32303
433	24719	32237
434	24769	32171
435	24817	32102
436	24869	32039
437	24919	31974
438	24971	31910
439	25024	31849
440	25076	31786
441	25125	31720
442	25179	31659
443	25246	31614
444	25298	31552
445	25348	31487
446	25407	31432
447	25464	31376
448	25515	31311
449	25569	31251
450	25618	31185
451	25671	31123
452	25719	31055
453	25773	30996
454	25821	30928
455	25909	30909
456	26006	30900
457	26085	30869
458	26143	30813
459	26203	30760
460	26267	30711
461	26334	30666
462	26430	30655
463	26496	30608
464	26552	30549
465	26613	30497
466	26671	30440
467	26723	30378
468	26780	30320
469	26831	30257
470	26891	30202
471	26944	30141
472	27006	30089
473	27063	30032
474	27119	29974
475	27176	29917
476	27253	29882
477	27312	29826
478	27380	29781
479	27505	29797
480	27607	29788
481	27665	29731
482	27718	29669
483	27775	29611
484	27830	29552
485	27892	29499
486	27975	29468
487	28036	29415
488	28092	29356
489	28154	29303
490	28206	29240
491	28267	29186
492	28332	29136
493	28401	29091
494	28478	29054
495	28542	29003
496	28633	28979
497	28708	28939
498	28760	28875
499	28830	28830
500	28884	28768
501	28936	28706
502	28989	28643
503	29043	28582
504	29090	28514
505	29145	28453
506	29203	28397
507	29255	28334
508	29321	28284
509	29373	28221
510	29452	28184
511	29509	28126
512	29560	28062
513	29640	28025
514	29690	27960
515	29744	27900
516	29795	27835
517	29850	27775
518	29899	27709
519	29952	27648
520	30005	27586
521	30058	27525
522	30108	27460
523	30163	27400
524	30216	27338
525	30269	27277
526	30328	27220
527	30382	27159
528	30444	27106
529	30503	27050
530	30554	26986
531	30603	26921
532	30677	26878
533	30731	26817
534	30780	26753
535	30832	26690
536	30880	26625
537	30944	26572
538	31009	26522
539	31061	26460
540	31114	26398
541	31172	26341
542	31242	26294
543	31292	26230
544	31348	26171
545	31410	26117
546	31519	26103
547	31576	26044
548	31673	26019
549	31726	25958
550	31780	25897
551	31833	25835
552	31887	25775
553	31939	25712
554	31997	25655
555	32051	25595
556	32102	25531
557	32159	25474
558	32208	25409
559	32286	25368
560	32338	25306
561	32451	25291
562	32560	25273
563	32612	25210
564	32693	25170
565	32745	25108
566	32793	25043
567	32846	24981
568	32894	24916
569	32946	24854
570	32994	24789
571	33059	24736
572	33112	24675
573	33161	24610
574	33212	24548
575	33262	24484
576	33313	24422
577	33368	24362
578	33429	24306
579	33484	24247
580	33538	24186
581	33639	24160
582	33705	24108
583	33783	24064
584	33835	24002
585	33900	23950
586	33952	23888
587	34003	23825
588	34057	23764
589	34142	23725
590	34192	23663
591	34245	23601
592	34310	23548
593	34360	23485
594	34415	23425
595	34471	23366
596	34530	23309
597	34580	23246
598	34633	23185
599	34682	23121
600	34735	23060
601	34787	22998
602	34837	22936
603	34902	22883
604	34952	22820
605	35005	22759
606	35053	22695
607	35108	22635
608	35162	22575
609	35214	22514
610	35270	22455
611	35323	22394
612	35374	22332
613	35426	22271
614	35499	22223
615	35556	22165
616	35610	22105
617	35660	22042
618	35712	21981
619	35761	21918
620	35813	21857
621	35862	21794
622	35915	21733
623	35962	21669
624	36017	21610
625	36075	21553
626	36127	21492
627	36177	21429
628	36229	21368
629	36298	21318
630	36346	21254
631	36399	21194
632	36448	21131
633	36506	21074
634	36560	21014
635	36624	20961
636	36686	20906
637	36746	20849
638	36797	20788
639	36849	20728
640	36901	20667
641	36955	20607
642	37029	20559
643	37082	20498
644	37153	20448
645	37205	20388
646	37255	20326
647	37307	20265
648	37397	20225
649	37504	20194
650	37569	20141
651	37621	20080
652	37692	20029
653	37738	19965
654	37792	19906
655	37839	19842
656	37927	19800
657	37981	19741
658	38032	19679
659	38102	19628
660	38151	19566
661	38203	19505
662	38252	19443
663	38311	19386
664	38380	19334
665	38430	19272
666	38482	19212
667	38596	19182
668	38667	19131
669	38722	19072
670	38774	19011
671	38834	18954
672	38887	18894
673	38943	18836
674	38997	18776
675	39053	18717
676	39104	18657
677	39153	18594
678	39216	18539
679	39267	18478
680	39318	18417
681	39372	18358
682	39422	18297
683	39477	18238
684	39525	18176
685	39588	18120
686	39643	18061
687	39700	18003
688	39748	17941
689	39803	17882
690	39852	17821
691	39926	17770
692	39979	17711
693	40030	17650
694	40082	17590
695	40130	17528
696	40182	17467
697	40235	17408
698	40299	17353
699	40349	17292
700	40401	17232
701	40454	17172
702	40505	17112
703	40559	17053
704	40619	16996
705	40673	16937
706	40725	16877
707	40777	16817
708	40833	16759
709	40884	16699
710	40943	16642
711	40995	16582
712	41051	16524
713	41103	16464
714	41185	16416
715	41238	16357
716	41292	16298
717	41344	16238
718	41396	16178
719	41449	16119
720	41502	16060
721	41556	16000
722	41618	15945
723	41672	15886
724	41734	15830
725	41811	15779
726	41863	15720
727	41916	15661
728	41980	15606
729	42034	15547
730	42088	15487
731	42169	15438
732	42230	15382
733	42284	15323
734	42336	15264
735	42417	15215
736	42538	15179
737	42611	15127
738	42676	15072
739	42750	15020
740	42802	14960
741	42858	14902
742	42911	14842
743	42966	14784
744	43018	14724
745	43072	14665
746	43125	14606
747	43178	14546
748	43231	14487
749	43286	14428
750	43338	14369
751	43405	14314
752	43458	14255
753	43511	14196
754	43613	14152
755	43668	14094
756	43723	14035
757	43797	13982
758	43850	13923
759	43904	13864
760	43967	13808
761	44020	13749
762	44075	13690
763	44128	13631
764	44181	13572
765	44235	13513
766	44286	13453
767	44339	13394
768	44392	13335
769	44445	13276
770	44498	13216
771	44551	13157
772	44620	13103
773	44677	13045
774	44728	12985
775	44784	12927
776	44835	12867
777	44889	12808
778	44948	12751
779	45000	12692
